iter	F1	Logloss
0	0.8440030558	0.6372304163
1	0.8501069111	0.5944446809
2	0.8525119207	0.5611633567
3	0.8539690927	0.5361341481
4	0.8552928311	0.5196764122
5	0.8553635049	0.5049824826
6	0.855794607	0.4937594241
7	0.8571664173	0.4836510113
8	0.8580740841	0.4765048319
9	0.8584110069	0.4703500499
10	0.8583421799	0.4656858132
11	0.8591979171	0.4620306064
12	0.8591413677	0.4588657012
13	0.8594426877	0.4566133632
14	0.8597514367	0.4545951893
15	0.8602555454	0.4522243043
16	0.8605877589	0.450300957
17	0.8608218844	0.448844689
18	0.8609271993	0.4476334032
19	0.8611883548	0.4464454543
20	0.8612324097	0.4457053413
21	0.8615178523	0.4447031464
22	0.8617720182	0.4438520878
23	0.8619113411	0.4431622051
24	0.8619445509	0.4423505462
25	0.862077305	0.4417387606
26	0.8620703153	0.4411587935
27	0.8622686627	0.4407135748
28	0.8623086829	0.4400178228
29	0.8625147204	0.4394444231
30	0.8626716658	0.4389128393
31	0.8627218977	0.4385964655
32	0.8627512496	0.4382437845
33	0.8627825193	0.4379936217
34	0.8627166156	0.4375712898
35	0.8627823761	0.4371333775
36	0.862960758	0.436880012
37	0.8630886497	0.4365227238
38	0.8630221635	0.4362401015
39	0.8631532918	0.4359488334
40	0.8630924096	0.4356554618
41	0.8631252551	0.4354321718
42	0.8631039442	0.4350922608
43	0.8632916534	0.4348652971
44	0.8633651355	0.4346380315
45	0.8633597967	0.4344310329
46	0.8633618645	0.4342775305
47	0.8635622084	0.4340153871
48	0.8634724856	0.4337707245
49	0.8635505883	0.4335754571
50	0.8637751041	0.4332980953
51	0.8637800975	0.4331966311
52	0.8637595449	0.4330510829
53	0.8637027309	0.4328687435
54	0.8639316278	0.4326993803
55	0.863948394	0.4325625243
56	0.8639997479	0.4324780103
57	0.8640504891	0.4323864118
58	0.8640870017	0.4322148733
59	0.8640794711	0.4319980066
60	0.8640673488	0.4318915669
61	0.8640485635	0.4317488058
62	0.864134547	0.4316555952
63	0.8642098271	0.4315203112
64	0.8642678654	0.4313742883
65	0.8642195641	0.4312249557
66	0.8643933329	0.431137077
67	0.8644506668	0.4309999281
68	0.864663917	0.430846993
69	0.8648125007	0.4306868955
70	0.864810948	0.4305632371
71	0.8648868659	0.4304322235
72	0.8647948269	0.4302756789
73	0.8648648649	0.4301296127
74	0.8649263878	0.4299787786
75	0.8648822235	0.4298502746
76	0.864964053	0.4297490603
77	0.865033177	0.4296247753
78	0.8651475361	0.4294442895
79	0.8651754413	0.4293025743
80	0.8653460237	0.4291307235
81	0.8653760704	0.4289467677
82	0.865315695	0.4288632711
83	0.8653260993	0.4287531111
84	0.8653645578	0.4286677146
85	0.8653599382	0.4285865903
86	0.8654219785	0.4284668077
87	0.8654362491	0.42838268
88	0.8654603126	0.4281806376
89	0.8654169514	0.4279761122
90	0.8655427175	0.4278457675
91	0.8655915251	0.4276568562
92	0.8656670185	0.4274959324
93	0.8657020185	0.4273251584
94	0.865838985	0.427139206
95	0.8659055429	0.4270246883
96	0.8659354686	0.4268789282
97	0.8660429077	0.4266798556
98	0.8662214649	0.4265546587
99	0.8663793938	0.4262849556
100	0.8663933697	0.4261590999
101	0.8663057418	0.4259565581
102	0.8663848723	0.4258369323
103	0.8665008797	0.425723454
104	0.8665821773	0.4256014906
105	0.8666864612	0.4254330976
106	0.8668312337	0.425198762
